epoch,from_worker,to_worker,activity_type,#(activities),t(activities),#(records)
1,3,2,ControlMessage,1,149647,0
1,2,2,Busy,8,459671,0
1,3,3,Busy,8,391180,0
1,0,2,ControlMessage,1,182448,0
1,2,1,ControlMessage,1,198637,0
1,1,1,Processing,2,610606,2000
1,3,3,Spinning,7,153289,0
1,0,3,ControlMessage,1,228503,0
1,0,0,Spinning,5,175905,0
1,0,0,Busy,8,408135,0
1,0,1,ControlMessage,1,130619,0
1,1,0,DataMessage,1,116095,1000
1,2,0,DataMessage,1,52463,1000
1,1,3,ControlMessage,1,214087,0
1,1,0,ControlMessage,1,1184472,0
1,3,0,ControlMessage,1,1136115,0
1,0,0,Processing,8,1512145,14000
1,3,0,DataMessage,1,45297,1000
1,2,2,Processing,2,610555,2000
1,3,3,Waiting,3,839168,0
1,1,2,ControlMessage,1,190194,0
1,1,1,Busy,8,464057,0
1,2,2,Waiting,3,823880,0
1,2,2,Spinning,7,169258,0
1,1,1,Spinning,7,168259,0
1,1,1,Waiting,3,770787,0
1,2,3,ControlMessage,1,220795,0
1,0,0,Waiting,3,340876,0
1,3,1,ControlMessage,1,149980,0
1,2,0,ControlMessage,1,1178668,0
1,3,3,Processing,2,599908,2000
2,0,0,Processing,8,1600994,14000
2,3,1,ControlMessage,1,209407,0
2,3,0,ControlMessage,1,1669644,0
2,2,2,Busy,7,366957,0
2,0,0,Busy,8,258767,0
2,0,3,ControlMessage,1,208189,0
2,0,1,ControlMessage,1,209060,0
2,2,1,ControlMessage,1,93336,0
2,2,3,ControlMessage,1,192945,0
2,3,3,Spinning,6,188640,0
2,1,1,Spinning,6,167384,0
2,3,3,Processing,2,594316,2000
2,3,3,Busy,7,568638,0
2,2,2,Waiting,3,1134702,0
2,0,2,ControlMessage,1,208656,0
2,1,3,ControlMessage,1,241493,0
2,2,0,ControlMessage,1,1544109,0
2,1,0,DataMessage,1,524137,1000
2,2,2,Processing,2,677780,2000
2,3,0,DataMessage,1,568980,1000
2,3,2,ControlMessage,1,297870,0
2,1,1,Processing,2,687048,2000
2,1,2,ControlMessage,1,222023,0
2,2,2,Spinning,6,214553,0
2,2,0,DataMessage,1,471184,1000
2,0,0,Waiting,3,321459,0
2,1,1,Waiting,3,1196480,0
2,0,0,Spinning,5,149032,0
2,3,3,Waiting,3,1063121,0
2,1,1,Busy,7,405919,0
2,1,0,ControlMessage,1,1593939,0
3,2,3,ControlMessage,1,159733,0
3,2,2,Busy,7,401801,0
3,3,0,ControlMessage,1,1621326,0
3,0,0,Processing,8,1608559,14000
3,1,1,Processing,2,638927,2000
3,3,3,Waiting,3,1183144,0
3,1,1,Waiting,3,1121285,0
3,1,1,Spinning,6,185017,0
3,3,2,ControlMessage,1,233668,0
3,2,0,DataMessage,1,303880,1000
3,0,3,ControlMessage,1,202157,0
3,0,2,ControlMessage,1,213830,0
3,0,1,ControlMessage,1,192069,0
3,3,3,Spinning,6,139270,0
3,1,0,ControlMessage,1,1513792,0
3,0,0,Spinning,5,151734,0
3,0,0,Busy,8,285463,0
3,2,1,ControlMessage,1,127656,0
3,2,2,Spinning,6,208963,0
3,3,3,Processing,2,616207,2000
3,1,1,Busy,7,401977,0
3,0,0,Waiting,3,297873,0
3,3,3,Busy,7,484354,0
3,1,3,ControlMessage,1,154709,0
3,1,0,DataMessage,1,304059,1000
3,2,0,ControlMessage,1,1517699,0
3,2,2,Waiting,3,1140696,0
3,3,0,DataMessage,1,381613,1000
3,2,2,Processing,2,637650,2000
3,3,1,ControlMessage,1,231400,0
3,1,2,ControlMessage,1,126022,0
4,1,0,ControlMessage,1,1400298,0
4,3,1,ControlMessage,1,190854,0
4,0,1,ControlMessage,1,163251,0
4,0,0,Spinning,5,203316,0
4,2,0,ControlMessage,1,1349911,0
4,2,2,Busy,7,351592,0
4,0,3,ControlMessage,1,219007,0
4,1,3,ControlMessage,1,105397,0
4,0,0,Processing,8,1509937,14000
4,0,0,Busy,8,257671,0
4,1,1,Busy,7,373603,0
4,3,0,DataMessage,1,328685,1000
4,1,1,Processing,2,641658,2000
4,1,0,DataMessage,1,320905,1000
4,1,1,Spinning,6,161020,0
4,3,2,ControlMessage,1,215735,0
4,2,1,ControlMessage,1,106851,0
4,3,3,Waiting,3,1119756,0
4,1,1,Waiting,3,1004537,0
4,2,0,DataMessage,1,288173,1000
4,3,0,ControlMessage,1,1433253,0
4,3,3,Processing,2,587186,2000
4,2,2,Processing,2,638380,2000
4,2,2,Spinning,6,205297,0
4,3,3,Spinning,6,148532,0
4,0,0,Waiting,3,316383,0
4,1,2,ControlMessage,1,182459,0
4,0,2,ControlMessage,1,241286,0
4,2,2,Waiting,3,1022782,0
4,3,3,Busy,7,336657,0
4,2,3,ControlMessage,1,54794,0
5,2,3,ControlMessage,1,208592,0
5,1,1,Spinning,6,195055,0
5,2,2,Waiting,3,980462,0
5,0,2,ControlMessage,1,203746,0
5,2,2,Busy,7,388801,0
5,1,0,ControlMessage,1,1443334,0
5,1,1,Waiting,3,996736,0
5,2,0,ControlMessage,1,1393623,0
5,3,1,ControlMessage,1,180212,0
5,0,0,Waiting,3,325236,0
5,2,1,ControlMessage,1,68917,0
5,0,0,Spinning,5,169837,0
5,3,3,Processing,2,574002,2000
5,1,2,ControlMessage,1,200909,0
5,3,0,ControlMessage,1,1505330,0
5,2,2,Spinning,6,183455,0
5,3,2,ControlMessage,1,254458,0
5,1,1,Busy,7,396354,0
5,2,2,Processing,2,615361,2000
5,0,0,Busy,8,242935,0
5,0,3,ControlMessage,1,217211,0
5,0,1,ControlMessage,1,172513,0
5,3,0,DataMessage,1,388764,1000
5,3,3,Busy,7,283884,0
5,2,0,DataMessage,1,310093,1000
5,3,3,Waiting,3,1221929,0
5,1,3,ControlMessage,1,32637,0
5,1,1,Processing,2,620442,2000
5,3,3,Spinning,6,148883,0
5,0,0,Processing,8,1463661,14000
5,1,0,DataMessage,1,364693,1000
6,2,2,Waiting,3,1052711,0
6,1,0,ControlMessage,1,1435165,0
6,3,3,Processing,2,531915,2000
6,1,1,Processing,2,618308,2000
6,1,3,ControlMessage,1,139173,0
6,2,0,ControlMessage,1,1417860,0
6,3,3,Waiting,3,1100192,0
6,0,0,Spinning,5,189365,0
6,2,2,Processing,2,617623,2000
6,3,2,ControlMessage,1,262972,0
6,2,2,Spinning,6,173434,0
6,2,0,DataMessage,1,357705,1000
6,0,0,Processing,8,1458381,14000
6,0,1,ControlMessage,1,153100,0
6,2,3,ControlMessage,1,132720,0
6,0,2,ControlMessage,1,186461,0
6,0,3,ControlMessage,1,214880,0
6,3,3,Spinning,6,138136,0
6,3,3,Busy,7,473015,0
6,2,1,ControlMessage,1,107800,0
6,3,0,DataMessage,1,464877,1000
6,1,1,Busy,7,364520,0
6,0,0,Waiting,3,305675,0
6,1,1,Spinning,6,157249,0
6,2,2,Busy,7,356986,0
6,3,1,ControlMessage,1,241045,0
6,1,2,ControlMessage,1,161181,0
6,1,1,Waiting,3,1045689,0
6,3,0,ControlMessage,1,1550356,0
6,0,0,Busy,8,243680,0
6,1,0,DataMessage,1,377979,1000
7,2,2,Processing,2,636713,2000
7,3,3,Busy,7,353557,0
7,1,1,Busy,7,385170,0
7,3,3,Processing,2,617017,2000
7,2,1,ControlMessage,1,107207,0
7,3,3,Waiting,3,1087734,0
7,3,2,ControlMessage,1,174776,0
7,2,2,Busy,7,392189,0
7,0,0,Waiting,3,314668,0
7,0,3,ControlMessage,1,220025,0
7,3,0,ControlMessage,1,1422168,0
7,1,1,Waiting,3,1014131,0
7,0,0,Spinning,5,148939,0
7,1,3,ControlMessage,1,85087,0
7,1,1,Processing,2,637882,2000
7,3,0,DataMessage,1,343301,1000
7,2,0,DataMessage,1,336357,1000
7,2,0,ControlMessage,1,1391976,0
7,3,1,ControlMessage,1,151733,0
7,0,0,Processing,8,1451254,14000
7,3,3,Spinning,6,173403,0
7,1,2,ControlMessage,1,156636,0
7,0,1,ControlMessage,1,183626,0
7,1,1,Spinning,6,176005,0
7,2,2,Spinning,6,175544,0
7,1,0,ControlMessage,1,1417738,0
7,1,0,DataMessage,1,365681,1000
7,2,2,Waiting,3,983038,0
7,0,0,Busy,8,243373,0
7,2,3,ControlMessage,1,58770,0
7,0,2,ControlMessage,1,188912,0
8,2,2,Busy,7,356795,0
8,1,1,Waiting,3,1018594,0
8,3,3,Processing,2,574877,2000
8,0,2,ControlMessage,1,179684,0
8,2,2,Waiting,3,1005379,0
8,0,1,ControlMessage,1,169366,0
8,0,0,Processing,8,1505555,14000
8,3,3,Busy,7,394219,0
8,0,3,ControlMessage,1,202173,0
8,3,3,Spinning,6,169446,0
8,0,0,Waiting,3,289309,0
8,1,1,Busy,7,345088,0
8,1,0,ControlMessage,1,1377549,0
8,3,3,Waiting,3,1082483,0
8,1,1,Spinning,6,171592,0
8,2,3,ControlMessage,1,189808,0
8,1,0,DataMessage,1,320623,1000
8,0,0,Busy,8,269987,0
8,3,1,ControlMessage,1,218008,0
8,2,0,ControlMessage,1,1364968,0
8,3,2,ControlMessage,1,236261,0
8,1,3,ControlMessage,1,200738,0
8,2,2,Processing,2,668077,2000
8,2,2,Spinning,6,174270,0
8,1,1,Processing,2,657927,2000
8,3,0,DataMessage,1,381567,1000
8,1,2,ControlMessage,1,143620,0
8,2,1,ControlMessage,1,112624,0
8,2,0,DataMessage,1,296465,1000
8,3,0,ControlMessage,1,1470054,0
8,0,0,Spinning,5,177204,0
9,2,2,Processing,2,622798,2000
9,3,2,ControlMessage,1,245504,0
9,1,1,Spinning,6,173769,0
9,3,3,Waiting,3,1140653,0
9,3,3,Spinning,6,155733,0
9,2,2,Busy,7,384146,0
9,2,3,ControlMessage,1,196593,0
9,0,0,Waiting,3,292554,0
9,0,3,ControlMessage,1,199825,0
9,1,0,DataMessage,1,356761,1000
9,1,2,ControlMessage,1,175252,0
9,3,3,Busy,7,361724,0
9,1,0,ControlMessage,1,1398213,0
9,3,0,DataMessage,1,399185,1000
9,0,2,ControlMessage,1,172902,0
9,0,1,ControlMessage,1,148987,0
9,1,1,Processing,2,623162,2000
9,3,1,ControlMessage,1,208958,0
9,2,1,ControlMessage,1,137001,0
9,1,1,Waiting,3,1007819,0
9,1,1,Busy,7,365786,0
9,3,3,Processing,2,563625,2000
9,2,2,Waiting,3,1006756,0
9,2,2,Spinning,6,161598,0
9,0,0,Busy,8,268586,0
9,1,3,ControlMessage,1,23689,0
9,3,0,ControlMessage,1,1468300,0
9,0,0,Spinning,5,149285,0
9,2,0,ControlMessage,1,1382680,0
9,2,0,DataMessage,1,338085,1000
9,0,0,Processing,8,1459258,14000
10,3,2,ControlMessage,1,234086,0
10,2,2,Spinning,6,177802,0
10,3,3,Busy,7,414831,0
10,0,0,Busy,8,267175,0
10,1,1,Busy,7,364148,0
10,1,1,Processing,2,657646,2000
10,1,3,ControlMessage,1,197238,0
10,3,3,Processing,2,560967,2000
10,1,1,Waiting,3,917268,0
10,3,3,Spinning,6,156086,0
10,0,3,ControlMessage,1,222219,0
10,0,0,Spinning,5,180150,0
10,0,0,Waiting,3,313429,0
10,2,3,ControlMessage,1,198216,0
10,0,2,ControlMessage,1,224189,0
10,1,0,ControlMessage,1,1347943,0
10,2,2,Busy,7,375868,0
10,2,1,ControlMessage,1,139308,0
10,3,1,ControlMessage,1,232771,0
10,2,2,Waiting,3,1001633,0
10,1,0,DataMessage,1,295854,1000
10,2,0,DataMessage,1,283641,1000
10,1,1,Spinning,6,175814,0
10,3,3,Waiting,3,1065635,0
10,3,0,DataMessage,1,388893,1000
10,2,2,Processing,2,663499,2000
10,0,1,ControlMessage,1,127789,0
10,0,0,Processing,8,1462422,14000
10,2,0,ControlMessage,1,1347506,0
10,1,2,ControlMessage,1,139935,0
10,3,0,ControlMessage,1,1450382,0
